npoints=54, a=(-0.106754,2.847157,2.875361), b=(0.578518,0.567724,0.585667)
npoints=40, a=(1.185223,-0.164238,-0.828718), b=(0.591344,-0.563276,0.577089)
npoints=30, a=(2.147641,2.074387,2.152054), b=(0.562639,0.582842,0.586287)
npoints=6, a=(3.337292,3.339840,3.147468), b=(0.512563,0.619298,0.594768)
npoints=3, a=(-0.630172,2.447162,2.698211), b=(0.666830,0.465566,0.581882)
npoints=3, a=(-0.185171,0.142489,-0.682287), b=(0.084930,0.481808,-0.872151)
npoints=5, a=(-0.772600,1.771910,-2.409773), b=(0.315514,-0.499168,0.807021)
npoints=2, a=(1.379661,4.239090,4.108001), b=(0.648021,0.476082,0.594488)
npoints=2, a=(1.589274,-0.733838,-0.268337), b=(-0.482049,0.864735,0.140930)
npoints=2, a=(3.554332,-2.612459,1.822851), b=(-0.486530,0.792356,-0.368049)
